Date,Open,High,Low,Close,Adj Close,Volume
2022-03-23,108.330002,108.900002,105.709999,106.160004,102.979202,7002600
2022-03-24,106.199997,106.550003,105.180000,106.349998,103.779381,5660500
2022-03-25,106.870003,108.480003,106.779999,108.459999,105.838379,5597200
2022-03-28,108.940002,110.010002,108.150002,109.930000,107.272842,5688000
2022-03-29,111.000000,112.470001,110.690002,112.379997,109.663628,8862200
2022-03-30,111.930000,112.519997,111.260002,111.559998,108.863441,4694900
2022-03-31,111.269997,112.489998,110.900002,110.949997,108.268188,6899800
2022-04-01,111.349998,112.660004,110.839996,112.519997,109.800240,4479100
2022-04-04,112.000000,112.160004,110.410004,110.879997,108.199883,5099200
2022-04-05,110.550003,111.849998,110.169998,110.500000,107.829063,5496100
2022-04-06,109.730003,112.029999,109.000000,111.720001,109.019585,5560700
2022-04-07,111.480003,113.120003,110.889999,112.330002,109.614838,6668600
2022-04-08,112.059998,113.110001,111.269997,112.470001,109.751457,5230500
2022-04-11,112.360001,112.739998,111.349998,111.519997,108.824409,3407100
2022-04-12,111.669998,112.220001,110.150002,110.580002,107.907135,4733900
2022-04-13,109.660004,110.680000,109.620003,110.459999,107.790031,4791500
2022-04-14,110.830002,111.110001,108.910004,109.019997,106.384842,6665800
2022-04-18,108.529999,109.250000,107.540001,108.080002,105.467567,3418000
2022-04-19,108.650002,111.660004,108.489998,110.220001,107.555840,9780300
2022-04-20,110.790001,113.489998,110.790001,113.000000,110.268646,5477700
2022-04-21,114.000000,114.309998,113.029999,113.089996,110.356468,5859300
2022-04-22,111.750000,111.820000,107.699997,107.800003,105.194336,6351500
2022-04-25,107.440002,109.669998,106.879997,109.480003,106.833725,5498200
2022-04-26,107.849998,109.419998,106.760002,106.779999,104.198990,5251200
2022-04-27,106.779999,108.250000,106.190002,106.629997,104.052612,4757700
2022-04-28,107.279999,107.639999,105.349998,107.150002,104.560043,5063200
2022-04-29,106.629997,106.629997,104.120003,104.360001,101.837479,5206000
2022-05-02,105.169998,105.559998,101.260002,103.139999,100.646965,6104000
2022-05-03,103.430000,104.190002,102.660004,103.110001,100.617699,3841500
2022-05-04,103.089996,106.199997,102.480003,105.830002,103.271950,4258100
2022-05-05,104.500000,105.669998,103.470001,104.550003,102.022888,3945400
2022-05-06,103.970001,104.830002,102.720001,103.449997,100.949478,5496400
2022-05-09,102.279999,102.320000,99.209999,99.580002,97.173012,6593300
2022-05-10,100.779999,101.330002,98.790001,100.309998,97.885368,5638900
2022-05-11,100.459999,102.459999,100.239998,100.650002,98.217155,4113400
2022-05-12,99.959999,101.400002,99.489998,101.110001,98.666039,4434700
2022-05-13,102.360001,103.029999,101.800003,102.669998,100.188332,3525900
2022-05-16,102.000000,104.330002,102.000000,103.809998,101.300774,3751200
2022-05-17,105.269997,106.330002,104.989998,106.260002,103.691551,3168200
2022-05-18,105.139999,105.900002,103.250000,103.570000,101.066574,4133800
2022-05-19,102.230003,103.250000,101.250000,102.750000,100.266403,4230400
2022-05-20,103.529999,103.739998,100.419998,102.529999,100.051712,5335800
2022-05-23,103.830002,104.440002,102.500000,104.260002,101.739906,4134300
2022-05-24,104.139999,105.730003,103.760002,105.589996,103.037743,4381900
2022-05-25,105.260002,106.059998,104.339996,105.540001,102.988960,5495100
2022-05-26,98.750000,101.389999,98.180000,99.440002,97.036407,12674300
2022-05-27,99.129997,99.180000,96.860001,99.080002,96.685112,13358600
2022-05-31,98.339996,100.620003,98.220001,100.150002,97.729248,11330500
2022-06-01,100.279999,100.320000,96.379997,97.779999,95.416527,6493700
2022-06-02,97.860001,98.900002,96.120003,98.500000,96.119125,6794700
2022-06-03,98.769997,98.769997,95.379997,95.480003,93.172127,9097000
2022-06-06,96.250000,96.860001,95.190002,95.489998,93.181877,5432500
2022-06-07,95.110001,96.550003,94.570000,96.470001,94.138191,5929000
2022-06-08,96.279999,96.790001,95.809998,96.040001,93.718590,5665500
2022-06-09,95.000000,95.470001,93.169998,93.199997,90.947235,5974800
2022-06-10,91.870003,93.779999,91.010002,92.739998,90.498344,6723500
2022-06-13,90.500000,91.800003,89.739998,90.169998,87.990471,8502400
2022-06-14,90.040001,90.309998,87.690002,88.480003,86.341324,7521900
2022-06-15,89.209999,90.339996,88.440002,89.349998,87.190285,5236200
2022-06-16,87.500000,88.059998,86.949997,87.400002,85.287430,6729900
2022-06-17,88.269997,89.510002,87.709999,88.220001,86.087608,8299300
2022-06-21,89.650002,89.750000,88.110001,88.709999,86.565758,6520400
2022-06-22,88.180000,89.889999,88.050003,89.250000,87.092705,7458400
2022-06-23,88.370003,89.610001,88.160004,88.669998,87.191032,6823300
2022-06-24,89.349998,90.510002,88.250000,90.220001,88.715187,7131800
