Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-1.801362E-05,987.10,0,84.74, -,9.140412
0.05,8.365668,986.80,7.952381,84.74, -,9.140412
0.10,19.52255,986.40,18.57143,84.74, -,9.140412
0.15,27.89475,986.10,26.52381,84.74, -,9.140412
0.20,39.05805,985.70,37.14286,84.74, -,9.140412
0.25,58.60478,985.00,55.76191,84.74, -,9.140412
0.30,66.98491,984.70,63.76191,84.74, -,9.140412
0.35,78.16277,984.30,74.42857,84.74, -,9.140412
0.40,83.75307,984.10,79.7619,84.74, -,9.140412
0.45,100.5278,983.50,95.71429,84.74, -,9.140412
0.50,114.5137,983.00,109.0476,84.74, -,9.140412
0.55,128.5053,982.50,122.381,84.74, -,9.140412
0.60,142.5026,982.00,135.7143,84.74, -,9.140412
0.65,164.9101,981.20,157.0476,84.74, -,9.140412
0.70,181.7267,980.60,173.0476,84.74, -,9.140412
0.75,195.746,980.10,186.381,84.74, -,9.140412
0.80,206.9647,979.70,197.0476,84.74, -,9.140412
0.85,232.2231,978.80,221.0952,84.74, -,9.140412
0.90,246.2633,978.30,234.4762,84.74, -,9.140412
0.95,263.1186,977.70,250.5238,84.74, -,9.140412
1.00,274.3612,977.30,261.2381,84.74, -,9.140412
1.05,294.0439,976.60,280,84.74, -,9.140412
1.10,308.1097,976.10,285.4286,84.74, -,9.140412
1.15,322.1814,975.60,288.1905,84.74, -,9.140412
1.20,336.2589,975.10,293.6667,84.74, -,9.140412
1.25,347.5241,974.70,293.7619,84.74, -,9.140412
1.30,355.9758,974.40,283.1905,84.74, -,9.140412
1.35,361.6121,974.20,280.5714,84.74, -,9.140412
1.40,370.0674,973.90,277.9524,84.74, -,9.140412
1.45,386.986,973.30,288.7143,84.74, -,9.140412
1.50,401.0904,972.80,286.1905,84.74, -,9.140412
1.55,418.0228,972.20,289,84.74, -,9.140412
1.60,434.9654,971.60,291.8095,84.74, -,9.140412
1.65,454.7399,970.90,297.2857,84.74, -,9.140412
1.70,471.7008,970.30,292.0952,84.74, -,9.140412
1.75,491.4985,969.60,294.9524,84.74, -,9.140412
1.80,508.4761,969.00,297.8095,84.74, -,9.140412
1.85,525.4623,968.40,303.3333,84.74, -,9.140412
1.90,542.4587,967.80,295.4762,84.74, -,9.140412
1.95,562.2977,967.10,301,84.74, -,9.140412
2.00,579.3109,966.50,301.1429,84.74, -,9.140412
2.05,596.3326,965.90,306.619,84.74, -,9.140412
2.10,613.3646,965.30,304.0952,84.74, -,9.140412
2.15,630.4035,964.70,306.9524,84.74, -,9.140412
2.20,647.4527,964.10,309.8095,84.74, -,9.140412
2.25,664.5087,963.50,312.619,84.74, -,9.140412
2.30,678.7292,963.00,315.4286,84.74, -,9.140412
2.35,695.8011,962.40,323.619,84.74, -,9.140412
2.40,710.0348,961.90,331.8095,84.74, -,9.140412
2.45,729.9724,961.20,342.7619,84.74, -,9.140412
2.50,747.0718,960.60,342.9524,84.74, -,9.140412
2.55,764.1782,960.00,345.8095,84.56, -,9.120965
2.60,778.4407,959.50,343.2381,84.56, -,9.120965
2.65,795.5629,958.90,343.381,84.56, -,9.120965
2.70,806.9837,958.50,335.4286,84.56, -,9.120965
2.75,824.1204,957.90,335.619,84.56, -,9.120965
2.80,838.4083,957.40,330.381,84.56, -,9.120965
2.85,855.5626,956.80,330.5238,84.56, -,9.120965
2.90,869.8638,956.30,327.9524,84.56, -,9.120965
2.95,887.0324,955.70,328.0952,84.56, -,9.120965
3.00,901.3469,955.20,322.8095,84.56, -,9.120965
3.05,915.6674,954.70,320.2381,84.56, -,9.120965
3.10,929.994,954.20,317.7143,84.56, -,9.120965
3.15,947.1949,953.60,317.8571,84.56, -,9.120965
3.20,958.6654,953.20,312.5238,84.56, -,9.120965
3.25,975.881,952.60,312.6667,84.56, -,9.120965
3.30,987.3611,952.20,307.381,84.56, -,9.120965
3.35,1001.718,951.70,307.5238,84.56, -,9.120965
3.40,1016.081,951.20,304.9524,84.56, -,9.120965
3.45,1033.326,950.60,307.8095,84.56, -,9.120965
3.50,1044.826,950.20,299.7619,84.56, -,9.140412
3.55,1059.208,949.70,297.1905,84.56, -,9.140412
3.60,1070.718,949.30,291.8571,84.56, -,9.140412
3.65,1085.11,948.80,292,84.56, -,9.140412
3.70,1099.509,948.30,289.4286,84.56, -,9.140412
3.75,1113.914,947.80,292.2857,84.56, -,9.140412
3.80,1125.441,947.40,286.9524,84.56, -,9.140412
3.85,1139.857,946.90,287.0476,84.56, -,9.140412
3.90,1151.395,946.50,281.7143,84.56, -,9.140412
3.95,1165.822,946.00,281.8571,84.56, -,9.140412
4.00,1177.369,945.60,276.5238,84.56, -,9.140412
4.05,1191.807,945.10,276.6667,84.56, -,9.140412
4.10,1203.361,944.70,274.0476,84.56, -,9.140412
4.15,1214.921,944.30,271.381,84.56, -,9.140412
4.20,1226.482,943.90,266,84.56, -,9.140412
4.25,1240.942,943.40,268.8571,84.56, -,9.140412
4.30,1252.514,943.00,263.4762,84.56, -,9.140412
4.35,1266.985,942.50,266.2857,84.56, -,9.140412
4.40,1278.566,942.10,263.6667,84.56, -,9.140412
4.45,1290.15,941.70,261.0476,84.56, -,9.140412
4.50,1301.739,941.30,255.6667,84.56, -,9.140412
4.55,1313.331,940.90,255.7619,84.56, -,9.15986
4.60,1324.928,940.50,253.0952,84.56, -,9.15986
4.65,1339.43,940.00,255.9524,84.56, -,9.15986
4.70,1348.134,939.70,250.5238,84.56, -,9.15986
4.75,1359.743,939.30,247.8571,84.56, -,9.15986
4.80,1371.355,938.90,245.1905,84.56, -,9.15986
4.85,1382.972,938.50,245.2381,84.56, -,9.15986
4.90,1391.687,938.20,239.8095,84.56, -,9.15986
4.95,1406.217,937.70,242.6667,84.56, -,9.15986
5.00,1414.938,937.40,237.1905,84.56, -,9.15986
5.05,1426.571,937.00,237.2857,84.56, -,9.15986
5.10,1435.297,936.70,231.8571,84.56, -,9.15986
5.15,1446.936,936.30,231.9524,84.56, -,9.15986
5.20,1458.578,935.90,232.0476,84.56, -,9.15986
5.25,1467.314,935.60,229.381,84.56, -,9.15986
5.30,1478.963,935.20,226.7143,84.56, -,9.15986
5.35,1490.618,934.80,226.8095,84.56, -,9.15986
5.40,1499.36,934.50,221.381,84.56, -,9.15986
5.45,1508.105,934.20,218.6667,84.56, -,9.15986
5.50,1519.77,933.80,218.7143,84.56, -,9.140412
5.55,1528.521,933.50,216,84.56, -,9.140412
5.60,1537.273,933.20,213.2857,84.56, -,9.140412
5.65,1548.948,932.80,213.3333,84.56, -,9.140412
5.70,1557.706,932.50,207.8571,84.56, -,9.140412
5.75,1566.466,932.20,207.9048,84.56, -,9.140412
5.80,1575.229,931.90,205.1905,84.56, -,9.140412
5.85,1586.917,931.50,205.2857,84.56, -,9.140412
5.90,1595.685,931.20,202.5714,84.56, -,9.140412
5.95,1604.455,930.90,202.619,84.56, -,9.140412
6.00,1610.303,930.70,194.3333,84.56, -,9.140412
6.05,1622.004,930.30,197.1905,84.56, -,9.140412
6.10,1630.781,930.00,194.4762,84.56, -,9.140412
6.15,1639.56,929.70,194.5238,84.56, -,9.140412
6.20,1648.341,929.40,191.8095,84.56, -,9.140412
6.25,1657.127,929.10,189.0952,84.56, -,9.140412
6.30,1665.913,928.80,189.1429,84.56, -,9.140412
6.35,1674.702,928.50,186.4286,84.56, -,9.140412
6.40,1680.563,928.30,180.9048,84.56, -,9.140412
6.45,1689.355,928.00,180.9524,84.56, -,9.140412
6.50,1698.15,927.70,181,84.56, -,9.140412
6.55,1706.946,927.40,178.2857,84.56, -,9.140412
6.60,1712.813,927.20,175.5238,84.56, -,9.140412
6.65,1721.614,926.90,175.5714,84.56, -,9.140412
6.70,1727.483,926.70,170.0476,84.56, -,9.140412
6.75,1736.287,926.40,170.0952,84.56, -,9.140412
6.80,1745.096,926.10,170.1429,84.56, -,9.140412
6.85,1750.967,925.90,167.381,84.56, -,9.140412
6.90,1759.78,925.60,164.619,84.56, -,9.140412
6.95,1765.654,925.40,161.8571,84.56, -,9.140412
7.00,1771.531,925.20,159.1429,84.56, -,9.140412
7.05,1780.347,924.90,161.9524,84.56, -,9.140412
7.10,1789.167,924.60,159.1905,84.56, -,9.140412
7.15,1795.046,924.40,156.4286,84.56, -,9.140412
7.20,1800.928,924.20,153.6667,84.56, -,9.140412
7.25,1809.752,923.90,153.6667,84.56, -,9.140412
7.30,1815.636,923.70,150.9048,84.56, -,9.140412
7.35,1821.522,923.50,148.1429,84.56, -,9.140412
7.40,1827.408,923.30,145.381,84.56, -,9.140412
7.45,1836.239,923.00,148.2381,84.56, -,9.140412
7.50,1839.183,922.90,142.6667,84.56, -,9.140412
7.55,1848.018,922.60,142.7143,84.56, -,9.140412
7.60,1853.908,922.40,139.9524,84.56, -,9.140412
7.65,1859.8,922.20,140,84.56, -,9.140412
7.70,1865.693,922.00,137.2381,84.56, -,9.140412
7.75,1871.588,921.80,137.2857,84.56, -,9.140412
7.80,1877.483,921.60,134.5238,84.56, -,9.140412
7.85,1883.377,921.40,131.7619,84.56, -,9.140412
7.90,1889.275,921.20,131.8095,84.56, -,9.140412
7.95,1895.173,921.00,129.0476,84.56, -,9.140412
8.00,1898.122,920.90,126.2857,84.56, -,9.140412
8.05,1904.022,920.70,126.2857,84.56, -,9.140412
8.10,1909.923,920.50,123.5238,84.56, -,9.140412
8.15,1915.825,920.30,120.7619,84.56, -,9.140412
8.20,1921.728,920.10,120.7619,84.56, -,9.140412
8.25,1924.679,920.00,117.9524,84.56, -,9.140412
8.30,1930.584,919.80,115.1905,84.56, -,9.140412
8.35,1936.49,919.60,115.1905,84.56, -,9.140412
8.40,1942.394,919.40,115.1905,84.56, -,9.140412
8.45,1945.349,919.30,112.381,84.56, -,9.140412
8.50,1948.302,919.20,106.7619,84.56, -,9.140412
8.55,1954.211,919.00,109.5714,84.56, -,9.140412
8.60,1960.121,918.80,106.7619,84.56, -,9.140412
8.65,1963.075,918.70,103.9524,84.56, -,9.140412
8.70,1966.032,918.60,101.1429,84.56, -,9.140412
8.75,1971.942,918.40,101.1429,84.56, -,9.140412
8.80,1974.899,918.30,98.33334,84.56, -,9.140412
8.85,1980.813,918.10,98.33334,84.56, -,9.140412
8.90,1983.769,918.00,95.52381,84.56, -,9.140412
8.95,1986.725,917.90,92.71429,84.56, -,9.140412
9.00,1992.641,917.70,92.71429,84.56, -,9.140412
9.05,1995.6,917.60,92.71429,84.56, -,9.140412
9.10,1998.558,917.50,89.90476,84.56, -,9.140412
9.15,2001.516,917.40,87.09524,84.56, -,9.140412
9.20,2004.475,917.30,84.28571,84.56, -,9.140412
9.25,2010.394,917.10,84.28571,84.56, -,9.140412
9.30,2013.353,917.00,84.28571,84.56, -,9.140412
9.35,2016.312,916.90,81.47619,84.56, -,9.140412
9.40,2019.273,916.80,78.66666,84.56, -,9.140412
9.45,2022.233,916.70,75.85714,84.56, -,9.140412
9.50,2025.195,916.60,75.85714,84.92, -,9.140412
9.55,2028.155,916.50,75.85714,84.92, -,9.140412
