"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
.02,.998377633379803,-7.01923658741136E-03,1.37068803134432,1.00636163908857,1.19415321565919,1.19415321565919
.05,.996702787650282,-1.26007271337429E-02,1.37069219384998,1.00640637011302,1.18442431556846,1.18442431556846
.1,.99498993613681,-1.76269253814434E-02,1.37068747230881,1.00658072736065,1.17291312784841,1.17291312784841
.2,.993247424003312,-2.22835755576405E-02,1.37063687996264,1.00730476530745,1.15945823308572,1.15945823308572
.25,.991480715479394,-2.66595424720488E-02,1.37059298830753,1.00785544177391,1.15531797197679,1.15531797197679
.3333333,.989693823315566,-3.08075447693311E-02,1.37049642146062,1.00905521134325,1.15053068168834,1.15053068168834
.4,.987889886253895,-3.47626764149046E-02,1.37040155144613,1.01027120774241,1.14796939178237,1.14796939178237
.5,.986071460294544,-3.85500731417346E-02,1.37023720663491,1.01252782778196,1.14551144090953,1.14551144090953
.6666667,.98424068592159,-4.21886802655997E-02,1.36992983367604,1.0174639542473,1.14378249629341,1.14378249629341
.7142857,.982399392814658,-4.56933260509512E-02,1.36983956768343,1.01914863994656,1.14366332846022,1.14366332846022
.7692308,.980549169661851,-4.90759587877965E-02,1.36973642066752,1.02124604172301,1.14368162440223,1.14368162440223
.8333333,.978691412980005,-5.23464313877023E-02,1.3696193424068,1.02390242728616,1.14388320776519,1.14388320776519
.9090909,.976827362563475,-5.55130234160051E-02,1.36948849566569,1.02733469426956,1.14433119433826,1.14433119433826
1,.974958128020272,-5.85828021093475E-02,1.36934719210376,1.0318752361532,1.14511337218005,1.14511337218005
1.001002,.973084709143761,-6.15618801251648E-02,1.36934575179152,1.03192785645971,1.14512327348696,1.14512327348696
1.002006,.971208011887621,-6.44556045521206E-02,1.36934431141134,1.03198063872442,1.14513322042528,1.14513322042528
1.003012,.969328861122287,-6.72686987091347E-02,1.36934287098001,1.03203358360803,1.14514321314193,1.14514321314193
1.00402,.96744801098227,-7.00053706381867E-02,1.36934143051443,1.03208669177459,1.14515325178438,1.14515325178438
1.00503,.965566153375019,-.072669397549472,1.36933999003173,1.03213996389148,1.14516333650063,1.14516333650063
1.006042,.963683925062853,-7.52641925482588E-02,1.36933854954917,1.03219340062949,1.14517346743922,1.14517346743922
1.007056,.961801913620681,-7.77928580714601E-02,1.3693371090842,1.03224700266282,1.14518364474922,1.14518364474922
1.008073,.959920662496107,-8.02582291956879E-02,1.36933566865445,1.03230077066906,1.14519386858023,1.14519386858023
1.009091,.958040675344253,-8.26629091158728E-02,1.36933422827772,1.03235470532928,1.14520413908241,1.14520413908241
1.010111,.956162419770189,-8.50092984937147E-02,1.369332787972,1.032408807328,1.14521445640645,1.14521445640645
1.011134,.954286330582742,-8.72996199505239E-02,1.36933134775543,1.0324630773532,1.14522482070357,1.14522482070357
